wav path,transcription,action,object,location,starting time,ending time
./wavs/speakers/aokxBz9LxXHzZzay/30523ba0-44d1-11e9-a8b6-e96f2628bf65.wav,Turn the heat down in the washroom,decrease,heat,washroom,15718,43550
./wavs/speakers/aokxBz9LxXHzZzay/33c6a1e0-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the temperature in the washroom,decrease,heat,washroom,10936,40849
./wavs/speakers/aokxBz9LxXHzZzay/36ed0f30-44d1-11e9-a8b6-e96f2628bf65.wav,Decrease the heating in the washroom,decrease,heat,washroom,10679,40808
./wavs/speakers/aokxBz9LxXHzZzay/37b33e00-44d4-11e9-a8b6-e96f2628bf65.wav,Decrease volume,decrease,volume,none,8887,25638
./wavs/speakers/aokxBz9LxXHzZzay/39c5aaa0-44d1-11e9-a8b6-e96f2628bf65.wav,Washroom heat down,decrease,heat,washroom,11068,30821
./wavs/speakers/aokxBz9LxXHzZzay/3a363f60-44d4-11e9-a8b6-e96f2628bf65.wav,Turn volume down,decrease,volume,none,8940,26623
./wavs/speakers/aokxBz9LxXHzZzay/3cb54920-44d4-11e9-a8b6-e96f2628bf65.wav,Turn sound down,decrease,volume,none,8285,24312
./wavs/speakers/aokxBz9LxXHzZzay/3d0a9c70-44d1-11e9-a8b6-e96f2628bf65.wav,Turn down the bathroom temperature,decrease,heat,washroom,11196,41194
./wavs/speakers/aokxBz9LxXHzZzay/3f75efc0-44d4-11e9-a8b6-e96f2628bf65.wav,Decrease audio volume,decrease,volume,none,6386,28457
./wavs/speakers/aokxBz9LxXHzZzay/3fd35630-44cd-11e9-a8b6-e96f2628bf65.wav,Volume up,increase,volume,none,11358,23649
./wavs/speakers/aokxBz9LxXHzZzay/42307be0-44d4-11e9-a8b6-e96f2628bf65.wav,Reduce audio volume,decrease,volume,none,8548,30685
./wavs/speakers/aokxBz9LxXHzZzay/427662b0-44cd-11e9-a8b6-e96f2628bf65.wav,Turn up the volume,increase,volume,none,11886,29595
./wavs/speakers/aokxBz9LxXHzZzay/45373060-44cd-11e9-a8b6-e96f2628bf65.wav,Turn the volume up,increase,volume,none,10932,26802
./wavs/speakers/aokxBz9LxXHzZzay/498836d0-44d4-11e9-a8b6-e96f2628bf65.wav,Volume mute,decrease,volume,none,9380,24234
./wavs/speakers/aokxBz9LxXHzZzay/4be89500-44d4-11e9-a8b6-e96f2628bf65.wav,Lower the volume,decrease,volume,none,8789,24754
./wavs/speakers/aokxBz9LxXHzZzay/4e9eb450-44d4-11e9-a8b6-e96f2628bf65.wav,Volume lower,decrease,volume,none,11036,26885
./wavs/speakers/aokxBz9LxXHzZzay/4edd9970-44d1-11e9-a8b6-e96f2628bf65.wav,Bathroom heat down,decrease,heat,washroom,9068,28048
./wavs/speakers/aokxBz9LxXHzZzay/503780f0-44cd-11e9-a8b6-e96f2628bf65.wav,Turn down the volume,decrease,volume,none,9988,30553
./wavs/speakers/aokxBz9LxXHzZzay/51421650-44d1-11e9-a8b6-e96f2628bf65.wav,Pause music,deactivate,music,none,10872,23552
./wavs/speakers/aokxBz9LxXHzZzay/53b4eb10-44d1-11e9-a8b6-e96f2628bf65.wav,Stop music,deactivate,music,none,7950,24619
./wavs/speakers/aokxBz9LxXHzZzay/53cba000-44d4-11e9-a8b6-e96f2628bf65.wav,Decrease sound levels,decrease,volume,none,9638,29050
./wavs/speakers/aokxBz9LxXHzZzay/53db0d80-44cd-11e9-a8b6-e96f2628bf65.wav,Turn the volume down,decrease,volume,none,10846,28953
./wavs/speakers/aokxBz9LxXHzZzay/573471b0-44cd-11e9-a8b6-e96f2628bf65.wav,Make the music softer,decrease,volume,none,10574,33421
./wavs/speakers/aokxBz9LxXHzZzay/5865f000-44d1-11e9-a8b6-e96f2628bf65.wav,Play music,activate,music,none,10996,24071
./wavs/speakers/aokxBz9LxXHzZzay/7955a070-44cd-11e9-a8b6-e96f2628bf65.wav,Turn off the music,deactivate,music,none,9777,27570
./wavs/speakers/aokxBz9LxXHzZzay/80fba270-44cd-11e9-a8b6-e96f2628bf65.wav,Put on the music,activate,music,none,12567,27279
./wavs/speakers/aokxBz9LxXHzZzay/8387cb90-44cd-11e9-a8b6-e96f2628bf65.wav,Play the music,activate,music,none,9711,23717
./wavs/speakers/aokxBz9LxXHzZzay/86209ee0-44cd-11e9-a8b6-e96f2628bf65.wav,Start the music,activate,music,none,9539,26137
./wavs/speakers/aokxBz9LxXHzZzay/e5866fb0-44d0-11e9-a8b6-e96f2628bf65.wav,Increase the temperature in the bathroom,increase,heat,washroom,8606,36899
./wavs/speakers/aokxBz9LxXHzZzay/e9a10100-44d0-11e9-a8b6-e96f2628bf65.wav,Increase the heating in the bathroom,increase,heat,washroom,11196,40070
./wavs/speakers/aokxBz9LxXHzZzay/fbfab2d0-44d3-11e9-a8b6-e96f2628bf65.wav,Volume max,increase,volume,none,9654,30402
./wavs/speakers/aokxBz9LxXHzZzay/fe97d340-44d0-11e9-a8b6-e96f2628bf65.wav,Turn down the temperature in the kitchen,decrease,heat,kitchen,10649,38942
./wavs/speakers/AvR9dePW88IynbaE/017efef0-4524-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the bedroom,decrease,heat,bedroom,5255,31833
./wavs/speakers/AvR9dePW88IynbaE/0222c060-4521-11e9-a843-8db76f4b5e29.wav,Increase the temperature in the bathroom,increase,heat,washroom,8274,38759
./wavs/speakers/AvR9dePW88IynbaE/02e7da90-4520-11e9-a843-8db76f4b5e29.wav,Switch off the lights in the kitchen,deactivate,lights,kitchen,8697,36992
./wavs/speakers/AvR9dePW88IynbaE/041cdb50-4524-11e9-a843-8db76f4b5e29.wav,Turn down the washroom temperature,decrease,heat,washroom,5951,32802
./wavs/speakers/AvR9dePW88IynbaE/05b4e7d0-4521-11e9-a843-8db76f4b5e29.wav,Increase the heating in the bathroom,increase,heat,washroom,6313,38006
./wavs/speakers/AvR9dePW88IynbaE/06040eb0-4520-11e9-a843-8db76f4b5e29.wav,Switch the lights off in the kitchen,deactivate,lights,kitchen,13989,44410
./wavs/speakers/AvR9dePW88IynbaE/06d67d10-4524-11e9-a843-8db76f4b5e29.wav,Turn the temperature down in the washroom,decrease,heat,washroom,5749,34295
./wavs/speakers/AvR9dePW88IynbaE/08eed290-4520-11e9-a843-8db76f4b5e29.wav,Lights off in the kitchen,deactivate,lights,kitchen,9270,31694
./wavs/speakers/AvR9dePW88IynbaE/092500f0-4524-11e9-a843-8db76f4b5e29.wav,Turn down the heat in the washroom,decrease,heat,washroom,5873,30295
./wavs/speakers/AvR9dePW88IynbaE/0b8d9950-4520-11e9-a843-8db76f4b5e29.wav,Kitchen lights off,deactivate,lights,kitchen,9520,28017
./wavs/speakers/AvR9dePW88IynbaE/0c8a7310-4524-11e9-a843-8db76f4b5e29.wav,Turn the heat down in the washroom,decrease,heat,washroom,6883,32709
./wavs/speakers/AvR9dePW88IynbaE/0f2c4710-4524-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the washroom,decrease,heat,washroom,5779,31672
./wavs/speakers/AvR9dePW88IynbaE/0f5dc940-4522-11e9-a843-8db76f4b5e29.wav,Turn the washroom lights off,deactivate,lights,washroom,7175,36079
./wavs/speakers/AvR9dePW88IynbaE/0f8671d0-4520-11e9-a843-8db76f4b5e29.wav,Turn off the lights in the bedroom,deactivate,lights,bedroom,7752,34378
./wavs/speakers/AvR9dePW88IynbaE/12035be0-4524-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the washroom,decrease,heat,washroom,7937,34061
./wavs/speakers/AvR9dePW88IynbaE/1274df30-4520-11e9-a843-8db76f4b5e29.wav,Turn the bedroom lights off,deactivate,lights,bedroom,6635,27995
./wavs/speakers/AvR9dePW88IynbaE/1456e8d0-4524-11e9-a843-8db76f4b5e29.wav,Washroom heat down,decrease,heat,washroom,8008,29762
./wavs/speakers/AvR9dePW88IynbaE/15b58b40-4520-11e9-a843-8db76f4b5e29.wav,Switch off the lights in the bedroom,deactivate,lights,bedroom,6718,34034
./wavs/speakers/AvR9dePW88IynbaE/16eab310-4524-11e9-a843-8db76f4b5e29.wav,Turn down the bathroom temperature,decrease,heat,washroom,6076,33637
./wavs/speakers/AvR9dePW88IynbaE/18d82800-4520-11e9-a843-8db76f4b5e29.wav,Switch the bedroom lights off,deactivate,lights,bedroom,7559,33959
./wavs/speakers/AvR9dePW88IynbaE/1973a7e0-4524-11e9-a843-8db76f4b5e29.wav,Turn the temperature down in the bathroom,decrease,heat,washroom,4573,34473
./wavs/speakers/AvR9dePW88IynbaE/1bbe9430-4522-11e9-a843-8db76f4b5e29.wav,Pause the music,deactivate,music,none,8537,24394
./wavs/speakers/AvR9dePW88IynbaE/1c006d40-4524-11e9-a843-8db76f4b5e29.wav,Turn down the heat in the bathroom,decrease,heat,washroom,6410,31549
./wavs/speakers/AvR9dePW88IynbaE/1c088af0-4521-11e9-a843-8db76f4b5e29.wav,Turn down the temperature in the kitchen,decrease,heat,kitchen,7801,37036
./wavs/speakers/AvR9dePW88IynbaE/1e2bfca0-4520-11e9-a843-8db76f4b5e29.wav,Bedroom lights off,deactivate,lights,bedroom,7499,22747
./wavs/speakers/AvR9dePW88IynbaE/1e678230-4524-11e9-a843-8db76f4b5e29.wav,Turn the heat down in the bathroom,decrease,heat,washroom,5859,29940
./wavs/speakers/AvR9dePW88IynbaE/1fa81fe0-4521-11e9-a843-8db76f4b5e29.wav,Turn the kitchen temperature down,decrease,heat,kitchen,6727,34190
./wavs/speakers/AvR9dePW88IynbaE/2072f480-4522-11e9-a843-8db76f4b5e29.wav,Volume down,decrease,volume,none,9946,30809
./wavs/speakers/AvR9dePW88IynbaE/210166f0-4524-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the bathroom,decrease,heat,washroom,5366,34848
./wavs/speakers/AvR9dePW88IynbaE/22e1a000-4521-11e9-a843-8db76f4b5e29.wav,Turn down the heat in the kitchen,decrease,heat,kitchen,7097,36872
./wavs/speakers/AvR9dePW88IynbaE/2367b890-4524-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the bathroom,decrease,heat,washroom,5216,30925
./wavs/speakers/AvR9dePW88IynbaE/24b03390-4523-11e9-a843-8db76f4b5e29.wav,Volume max,increase,volume,none,5437,24236
./wavs/speakers/AvR9dePW88IynbaE/2576c270-4524-11e9-a843-8db76f4b5e29.wav,Bathroom heat down,decrease,heat,washroom,7501,23725
./wavs/speakers/AvR9dePW88IynbaE/276a06f0-4524-11e9-a843-8db76f4b5e29.wav,Pause music,deactivate,music,none,6617,22174
./wavs/speakers/AvR9dePW88IynbaE/288da6c0-4521-11e9-a843-8db76f4b5e29.wav,Kitchen heat down,decrease,heat,kitchen,10294,31382
./wavs/speakers/AvR9dePW88IynbaE/28e88610-4523-11e9-a843-8db76f4b5e29.wav,Increase the volume,increase,volume,none,5591,24101
./wavs/speakers/AvR9dePW88IynbaE/2986a560-4524-11e9-a843-8db76f4b5e29.wav,Stop music,deactivate,music,none,6562,22285
./wavs/speakers/AvR9dePW88IynbaE/29b9e730-4520-11e9-a843-8db76f4b5e29.wav,Washroom lights off,deactivate,lights,washroom,7271,28524
./wavs/speakers/AvR9dePW88IynbaE/2b5f2b60-4523-11e9-a843-8db76f4b5e29.wav,Increase the sound volume,increase,volume,none,6650,29025
./wavs/speakers/AvR9dePW88IynbaE/2b7ed340-4521-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the kitchen,decrease,heat,kitchen,7374,38158
./wavs/speakers/AvR9dePW88IynbaE/2d4274e0-4524-11e9-a843-8db76f4b5e29.wav,Play music,activate,music,none,8128,20179
./wavs/speakers/AvR9dePW88IynbaE/2e406440-4521-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the kitchen,decrease,heat,kitchen,5817,35056
./wavs/speakers/AvR9dePW88IynbaE/2ede6e70-4520-11e9-a843-8db76f4b5e29.wav,Turn sound up,increase,volume,none,6456,23790
./wavs/speakers/AvR9dePW88IynbaE/2f5cf070-4524-11e9-a843-8db76f4b5e29.wav,Resume music,activate,music,none,5653,22379
./wavs/speakers/AvR9dePW88IynbaE/2f8bbe10-4523-11e9-a843-8db76f4b5e29.wav,Increase the sound,increase,volume,none,6940,24592
./wavs/speakers/AvR9dePW88IynbaE/3151ea00-4521-11e9-a843-8db76f4b5e29.wav,Turn down the temperature in the bedroom,decrease,heat,bedroom,7835,39629
./wavs/speakers/AvR9dePW88IynbaE/319e2de0-4524-11e9-a843-8db76f4b5e29.wav,Bring me the newspaper,bring,newspaper,none,6890,25826
./wavs/speakers/AvR9dePW88IynbaE/31d184d0-4522-11e9-a843-8db76f4b5e29.wav,Volume up,increase,volume,none,8525,24579
./wavs/speakers/AvR9dePW88IynbaE/33b4b1d0-4524-11e9-a843-8db76f4b5e29.wav,Get me the newspaper,bring,newspaper,none,7038,26101
./wavs/speakers/AvR9dePW88IynbaE/34610950-4522-11e9-a843-8db76f4b5e29.wav,Turn up the volume,increase,volume,none,11008,30558
./wavs/speakers/AvR9dePW88IynbaE/351879d0-451f-11e9-a843-8db76f4b5e29.wav,Volume down,decrease,volume,none,8424,30378
./wavs/speakers/AvR9dePW88IynbaE/35c4a610-4524-11e9-a843-8db76f4b5e29.wav,Bring the newspaper,bring,newspaper,none,7188,25448
./wavs/speakers/AvR9dePW88IynbaE/36ebd2e0-4522-11e9-a843-8db76f4b5e29.wav,Turn the volume up,increase,volume,none,9443,28329
./wavs/speakers/AvR9dePW88IynbaE/37c5a630-4524-11e9-a843-8db76f4b5e29.wav,Bring newspaper,bring,newspaper,none,6447,21494
./wavs/speakers/AvR9dePW88IynbaE/384c5f30-4520-11e9-a843-8db76f4b5e29.wav,Volume max,increase,volume,none,4369,19873
./wavs/speakers/AvR9dePW88IynbaE/39e97090-4524-11e9-a843-8db76f4b5e29.wav,Go get the newspaper,bring,newspaper,none,8627,27975
./wavs/speakers/AvR9dePW88IynbaE/3a287cc0-4521-11e9-a843-8db76f4b5e29.wav,Turn the bedroom heat down,decrease,heat,bedroom,8747,35414
./wavs/speakers/AvR9dePW88IynbaE/3c128790-4523-11e9-a843-8db76f4b5e29.wav,Turn the sound up,increase,volume,none,7104,22623
./wavs/speakers/AvR9dePW88IynbaE/3c241e50-4524-11e9-a843-8db76f4b5e29.wav,Fetch the newspaper,bring,newspaper,none,7598,28764
./wavs/speakers/AvR9dePW88IynbaE/3c314fa0-4522-11e9-a843-8db76f4b5e29.wav,Turn down the volume,decrease,volume,none,8479,32461
./wavs/speakers/AvR9dePW88IynbaE/3ccee4a0-4521-11e9-a843-8db76f4b5e29.wav,Bedroom heat down,decrease,heat,bedroom,9000,28289
./wavs/speakers/AvR9dePW88IynbaE/3e588a80-4524-11e9-a843-8db76f4b5e29.wav,Bring me some juice,bring,juice,none,6844,27083
./wavs/speakers/AvR9dePW88IynbaE/3ea02cc0-4522-11e9-a843-8db76f4b5e29.wav,Turn the volume down,decrease,volume,none,6318,27293
./wavs/speakers/AvR9dePW88IynbaE/3fc1bed0-4521-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the bedroom,decrease,heat,bedroom,8443,38006
./wavs/speakers/AvR9dePW88IynbaE/406d12a0-4524-11e9-a843-8db76f4b5e29.wav,Get me some juice,bring,juice,none,6311,24070
./wavs/speakers/AvR9dePW88IynbaE/413815b0-4522-11e9-a843-8db76f4b5e29.wav,Make the music softer,decrease,volume,none,7389,31591
./wavs/speakers/AvR9dePW88IynbaE/42597950-4524-11e9-a843-8db76f4b5e29.wav,Bring some juice,bring,juice,none,6900,22401
./wavs/speakers/AvR9dePW88IynbaE/42b3aea0-4521-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the bedroom,decrease,heat,bedroom,8233,37489
./wavs/speakers/AvR9dePW88IynbaE/443a4740-4524-11e9-a843-8db76f4b5e29.wav,Bring juice,bring,juice,none,7580,20474
./wavs/speakers/AvR9dePW88IynbaE/45b88a30-4521-11e9-a843-8db76f4b5e29.wav,Turn down the washroom temperature,decrease,heat,washroom,7277,37449
./wavs/speakers/AvR9dePW88IynbaE/4679d700-4524-11e9-a843-8db76f4b5e29.wav,Go get me some juice,bring,juice,none,6021,25281
./wavs/speakers/AvR9dePW88IynbaE/4730e770-4523-11e9-a843-8db76f4b5e29.wav,Decrease volume,decrease,volume,none,6969,23945
./wavs/speakers/AvR9dePW88IynbaE/488c1530-4524-11e9-a843-8db76f4b5e29.wav,Bring me my socks,bring,socks,none,6369,23878
./wavs/speakers/AvR9dePW88IynbaE/48eb7aa0-4521-11e9-a843-8db76f4b5e29.wav,Turn the temperature down in the washroom,decrease,heat,washroom,9638,44215
./wavs/speakers/AvR9dePW88IynbaE/496ef090-4523-11e9-a843-8db76f4b5e29.wav,Turn volume down,decrease,volume,none,7221,24133
./wavs/speakers/AvR9dePW88IynbaE/4aa29920-4524-11e9-a843-8db76f4b5e29.wav,Get me my socks,bring,socks,none,6624,24540
./wavs/speakers/AvR9dePW88IynbaE/4b91a980-4523-11e9-a843-8db76f4b5e29.wav,Turn sound down,decrease,volume,none,7825,22787
./wavs/speakers/AvR9dePW88IynbaE/4c49c0d0-4521-11e9-a843-8db76f4b5e29.wav,Turn down the heat in the washroom,decrease,heat,washroom,10884,44397
./wavs/speakers/AvR9dePW88IynbaE/4c7891a0-4524-11e9-a843-8db76f4b5e29.wav,Bring socks,bring,socks,none,4780,18243
./wavs/speakers/AvR9dePW88IynbaE/4dcb6ce0-4523-11e9-a843-8db76f4b5e29.wav,Decrease audio volume,decrease,volume,none,7886,29549
./wavs/speakers/AvR9dePW88IynbaE/4e4a4460-4524-11e9-a843-8db76f4b5e29.wav,Bring my socks,bring,socks,none,5973,19611
./wavs/speakers/AvR9dePW88IynbaE/4f700710-4521-11e9-a843-8db76f4b5e29.wav,Turn the heat down in the washroom,decrease,heat,washroom,9863,40846
./wavs/speakers/AvR9dePW88IynbaE/5085b570-4524-11e9-a843-8db76f4b5e29.wav,Go get me my socks,bring,socks,none,5883,26500
./wavs/speakers/AvR9dePW88IynbaE/527f6290-4524-11e9-a843-8db76f4b5e29.wav,Fetch my socks,bring,socks,none,9709,23759
./wavs/speakers/AvR9dePW88IynbaE/5293b540-4521-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the washroom,decrease,heat,washroom,11561,45333
./wavs/speakers/AvR9dePW88IynbaE/549a2c40-4524-11e9-a843-8db76f4b5e29.wav,Bring me my shoes,bring,shoes,none,5682,22625
./wavs/speakers/AvR9dePW88IynbaE/55dec190-4521-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the washroom,decrease,heat,washroom,9266,41526
./wavs/speakers/AvR9dePW88IynbaE/566014a0-4523-11e9-a843-8db76f4b5e29.wav,Volume mute,decrease,volume,none,5996,22461
./wavs/speakers/AvR9dePW88IynbaE/56a601d0-4524-11e9-a843-8db76f4b5e29.wav,Get me my shoes,bring,shoes,none,5998,24227
./wavs/speakers/AvR9dePW88IynbaE/58262b70-451f-11e9-a843-8db76f4b5e29.wav,Turn down the volume,decrease,volume,none,9102,32124
./wavs/speakers/AvR9dePW88IynbaE/587da800-4524-11e9-a843-8db76f4b5e29.wav,Bring shoes,bring,shoes,none,8201,19718
./wavs/speakers/AvR9dePW88IynbaE/5886d720-4521-11e9-a843-8db76f4b5e29.wav,Washroom heat down,decrease,heat,washroom,8373,32719
./wavs/speakers/AvR9dePW88IynbaE/58962e80-4523-11e9-a843-8db76f4b5e29.wav,Lower the volume,decrease,volume,none,7701,26980
./wavs/speakers/AvR9dePW88IynbaE/59aa2c00-4522-11e9-a843-8db76f4b5e29.wav,Turn off the music,deactivate,music,none,6425,29441
./wavs/speakers/AvR9dePW88IynbaE/5a6ad200-4524-11e9-a843-8db76f4b5e29.wav,Bring my shoes,bring,shoes,none,5624,20658
./wavs/speakers/AvR9dePW88IynbaE/5ac124d0-4523-11e9-a843-8db76f4b5e29.wav,Volume lower,decrease,volume,none,7313,24289
./wavs/speakers/AvR9dePW88IynbaE/5b8d6060-4521-11e9-a843-8db76f4b5e29.wav,Turn down the bathroom temperature,decrease,heat,washroom,7899,38349
./wavs/speakers/AvR9dePW88IynbaE/5c06e0b0-4522-11e9-a843-8db76f4b5e29.wav,Stop the music,deactivate,music,none,7821,26792
./wavs/speakers/AvR9dePW88IynbaE/5c108500-451f-11e9-a843-8db76f4b5e29.wav,Turn the volume down,decrease,volume,none,9316,34068
./wavs/speakers/AvR9dePW88IynbaE/5cd14ab0-4524-11e9-a843-8db76f4b5e29.wav,Go get me my shoes,bring,shoes,none,9191,29363
./wavs/speakers/AvR9dePW88IynbaE/5cdbc770-4523-11e9-a843-8db76f4b5e29.wav,Decrease the volume,decrease,volume,none,7465,27053
./wavs/speakers/AvR9dePW88IynbaE/5ecad0c0-4524-11e9-a843-8db76f4b5e29.wav,Fetch my shoes,bring,shoes,none,7979,24087
./wavs/speakers/AvR9dePW88IynbaE/5f2eca10-4521-11e9-a843-8db76f4b5e29.wav,Turn the temperature down in the bathroom,decrease,heat,washroom,8424,41451
./wavs/speakers/AvR9dePW88IynbaE/5f360b20-4523-11e9-a843-8db76f4b5e29.wav,Decrease sound levels,decrease,volume,none,8240,29645
./wavs/speakers/AvR9dePW88IynbaE/5f744970-451f-11e9-a843-8db76f4b5e29.wav,Make the music softer,decrease,volume,none,8848,38707
./wavs/speakers/AvR9dePW88IynbaE/60925c40-4522-11e9-a843-8db76f4b5e29.wav,Put on the music,activate,music,none,7737,27275
./wavs/speakers/AvR9dePW88IynbaE/62832530-4521-11e9-a843-8db76f4b5e29.wav,Turn down the heat in the bathroom,decrease,heat,washroom,7998,40531
./wavs/speakers/AvR9dePW88IynbaE/643350c0-4522-11e9-a843-8db76f4b5e29.wav,Play the music,activate,music,none,10218,24876
./wavs/speakers/AvR9dePW88IynbaE/657b5690-4521-11e9-a843-8db76f4b5e29.wav,Turn the heat down in the bathroom,decrease,heat,washroom,6286,35682
./wavs/speakers/AvR9dePW88IynbaE/67707a60-4522-11e9-a843-8db76f4b5e29.wav,Start the music,activate,music,none,7289,24777
./wavs/speakers/AvR9dePW88IynbaE/6868b280-4521-11e9-a843-8db76f4b5e29.wav,Decrease the temperature in the bathroom,decrease,heat,washroom,8137,40162
./wavs/speakers/AvR9dePW88IynbaE/6b0aad90-4521-11e9-a843-8db76f4b5e29.wav,Decrease the heating in the bathroom,decrease,heat,washroom,6243,35224
./wavs/speakers/AvR9dePW88IynbaE/6d9f3b20-4521-11e9-a843-8db76f4b5e29.wav,Bathroom heat down,decrease,heat,washroom,8034,29175
./wavs/speakers/AvR9dePW88IynbaE/7001e340-4521-11e9-a843-8db76f4b5e29.wav,Pause music,deactivate,music,none,9038,25754
./wavs/speakers/AvR9dePW88IynbaE/72710e80-4521-11e9-a843-8db76f4b5e29.wav,Stop music,deactivate,music,none,6954,25299
./wavs/speakers/AvR9dePW88IynbaE/76c916a0-4524-11e9-a843-8db76f4b5e29.wav,Set language to Chinese,change language,Chinese,none,6463,33564
./wavs/speakers/AvR9dePW88IynbaE/77426cb0-4521-11e9-a843-8db76f4b5e29.wav,Play music,activate,music,none,11242,26641
./wavs/speakers/AvR9dePW88IynbaE/791d66e0-4524-11e9-a843-8db76f4b5e29.wav,Set language to German,change language,German,none,5603,30033
./wavs/speakers/AvR9dePW88IynbaE/7a1cb5d0-4521-11e9-a843-8db76f4b5e29.wav,Resume music,activate,music,none,8283,28957
./wavs/speakers/AvR9dePW88IynbaE/7b95e0f0-4524-11e9-a843-8db76f4b5e29.wav,Set language to Korean,change language,Korean,none,4789,31623
./wavs/speakers/AvR9dePW88IynbaE/7d3d7dd0-4521-11e9-a843-8db76f4b5e29.wav,Bring me the newspaper,bring,newspaper,none,11287,36583
./wavs/speakers/AvR9dePW88IynbaE/7de80e50-4524-11e9-a843-8db76f4b5e29.wav,Set language to English,change language,English,none,4381,30034
./wavs/speakers/AvR9dePW88IynbaE/7e999d50-451f-11e9-a843-8db76f4b5e29.wav,Turn off the music,deactivate,music,none,9573,33542
./wavs/speakers/AvR9dePW88IynbaE/7f158740-4523-11e9-a843-8db76f4b5e29.wav,Turn up the temperature in the kitchen,increase,heat,kitchen,7329,33637
